name	x	y	z	type	material
Fp1	-0.030902595782959074	0.1145851808674079	0.027866574329093563	dry 8-pins gold-alloy electrodes	gold-alloy
Fp2	0.028409487887091203	0.11534630809630636	0.02772125772253031	dry 8-pins gold-alloy electrodes	gold-alloy
F3	-0.05180904586237076	0.0866879023191724	0.07871409302883829	dry 8-pins gold-alloy electrodes	gold-alloy
AFz	-0.0012373895244665748	0.113739933711993	0.07038366398270719	dry 8-pins gold-alloy electrodes	gold-alloy
F4	0.05027427028109521	0.087438385860065	0.07727065434234637	dry 8-pins gold-alloy electrodes	gold-alloy
T7	-0.08598208540859081	0.014871643830998479	0.03117337373904913	dry 8-pins gold-alloy electrodes	gold-alloy
Cz	-0.0013741408533525957	0.027617093717945417	0.1401994941744	dry 8-pins gold-alloy electrodes	gold-alloy
T8	0.08326136240706139	0.015258183861365685	0.030972968524064372	dry 8-pins gold-alloy electrodes	gold-alloy
P7	-0.07445797197401204	-0.0421231600703902	0.041273631387385656	dry 8-pins gold-alloy electrodes	gold-alloy
P3	-0.05503823925315043	-0.04421030104524479	0.09990897692201317	dry 8-pins gold-alloy electrodes	gold-alloy
Pz	-0.0017094524972804195	-0.04521299319629392	0.12667292418210063	dry 8-pins gold-alloy electrodes	gold-alloy
P4	0.053636008012841616	-0.044334525348021875	0.10051602773215543	dry 8-pins gold-alloy electrodes	gold-alloy
P8	0.07103246343848865	-0.04225998064272267	0.04119886278195534	dry 8-pins gold-alloy electrodes	gold-alloy
O1	-0.0315735653251896	-0.08056835005318111	0.054789645624052044	dry 8-pins gold-alloy electrodes	gold-alloy
Oz	-0.002060253553524364	-0.08278299035919615	0.06073663060774018	dry 8-pins gold-alloy electrodes	gold-alloy
O2	0.027683093109090593	-0.08048884161275736	0.05473408147779854	dry 8-pins gold-alloy electrodes	gold-alloy
